sst,department,storage,limitation
1469,@ha,"Handapparat, Nutzung vor Ort",Dieser Bestand ist außerhalb der UB aufgestellt. Bitte nutzen Sie ihn vor Ort.
1870,@ha,"Handapparat, Nutzung vor Ort",Dieser Bestand ist außerhalb der UB aufgestellt. Bitte nutzen Sie ihn vor Ort.
1880,@ha,"Handapparat, Nutzung vor Ort",Dieser Bestand ist außerhalb der UB aufgestellt. Bitte nutzen Sie ihn vor Ort.
1891,@ha,"Handapparat, Nutzung vor Ort",Dieser Bestand ist außerhalb der UB aufgestellt. Bitte nutzen Sie ihn vor Ort.
2405,@ha,"Handapparat, Nutzung vor Ort",Dieser Bestand ist außerhalb der UB aufgestellt. Bitte nutzen Sie ihn vor Ort.
2700,@ha,"Handapparat, Nutzung vor Ort",Dieser Bestand ist außerhalb der UB aufgestellt. Bitte nutzen Sie ihn vor Ort.
2790,@ha,"Handapparat, Nutzung vor Ort",Dieser Bestand ist außerhalb der UB aufgestellt. Bitte nutzen Sie ihn vor Ort.
2880,@ha,"Handapparat, Nutzung vor Ort",Dieser Bestand ist außerhalb der UB aufgestellt. Bitte nutzen Sie ihn vor Ort.
2895,@ha,"Handapparat, Nutzung vor Ort",Dieser Bestand ist außerhalb der UB aufgestellt. Bitte nutzen Sie ihn vor Ort.
3800,@ha,"Handapparat, Nutzung vor Ort",Dieser Bestand ist außerhalb der UB aufgestellt. Bitte nutzen Sie ihn vor Ort.
3801,@ha,"Handapparat, Nutzung vor Ort",Dieser Bestand ist außerhalb der UB aufgestellt. Bitte nutzen Sie ihn vor Ort.
3870,@ha,"Handapparat, Nutzung vor Ort",Dieser Bestand ist außerhalb der UB aufgestellt. Bitte nutzen Sie ihn vor Ort.
3880,@ha,"Handapparat, Nutzung vor Ort",Dieser Bestand ist außerhalb der UB aufgestellt. Bitte nutzen Sie ihn vor Ort.
2299,@ha,"Handapparat, Nutzung vor Ort",Dieser Bestand ist außerhalb der UB aufgestellt. Bitte nutzen Sie ihn vor Ort.
2961,-,,
1010,-,,
1040,-,,
1200,-,,
1201,-,,
1400,-,,
1401,-,,
1402,-,,
1454,-,,
1501,-,,
1503,-,,
1509,-,,
1510,-,,
1512,-,,
1530,-,,
1533,-,,
1534,-,,
1535,-,,
1537,-,,
1544,-,,
1545,-,,
1551,-,,
1552,-,,
1601,-,,
1606,-,,
1607,-,,
1609,-,,
1650,-,,
1657,-,,
1665,-,,
1666,-,,
1672,-,,
1701,-,,
1710,-,,
1760,-,,
1770,-,,
1818,-,,
1851,-,,
1860,-,,
1890,-,,
1892,-,,
1893,-,,
1894,-,,
1895,-,,
1896,-,,
1900,-,,
1901,-,,
1902,-,,
1903,-,,
1904,-,,
1905,-,,
1906,-,,
1907,-,,
1908,-,,
1909,-,,
1910,-,,
1911,-,,
1912,-,,
1913,-,,
1915,-,,
1916,-,,
1917,-,,
1918,-,,
9100,-,,
9350,-,,
9999,-,,
2089,-,,
2400,-,,
2450,-,,
2451,-,,
2500,-,,
2505,-,,
2509,-,,
2554,-,,
2556,-,,
2558,-,,
2600,-,,
2652,-,,
2654,-,,
2655,-,,
2712,-,,
2715,-,,
2716,-,,
2771,-,,
2791,-,,
2800,-,,
2802,-,,
2851,-,,
2852,-,,
2950,-,,
2951,-,,
2952,-,,
2954,-,,
2955,-,,
2956,-,,
2961,-,,
3171,-,,
3190,-,,
3304,-,,
3311,-,,
3316,-,,
3318,-,,
3326,-,,
3399,-,,
3406,-,,
3501,-,,
3802,-,,
3892,-,,
3900,-,,
3901,-,,
3902,-,,
3903,-,,
3904,-,,
7110,-,,
7120,-,,
7130,-,,
7133,-,,
7135,-,,
7140,-,,
7145,-,,
7150,-,,
7155,-,,
7201,-,,
7210,-,,
7220,-,,
7221,-,,
7223,-,,
7224,-,,
7225,-,,
7227,-,,
7229,-,,
7230,-,,
7232,-,,
7240,-,,
7250,-,,
7251,-,,
7255,-,,
7260,-,,
7320,-,,
7330,-,,
7350,-,,
7410,-,,
7420,-,,
7430,-,,
7440,-,,
7450,-,,
7460,-,,
7470,-,,
2501,-,,
1914,-,,
3171,-,,
1210,-,,
1360,-,,
1426,-,,
2960,-,,
3893,-,,
3950,-,,
3951,-,,
1950,@,,
1951,@,,
1952,@,,
1960,@,,
1961,@,,
9300,@,,
9301,@,,
2960,@,,
9302,@,,
9000,-,,
9005,-,,
9010,-,,
